Country,Metric,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Belgium,Incoming disclosed value (millions USD),74,4,286,22,117,245,532,344,259,330,95
Belgium,Incoming estimated value (millions USD),157,68,293,77,198,375,994,640,672,895,293
Belgium,Incoming investment counts,38,12,54,26,30,70,65,79,61,97,121
Belgium,Outgoing disclosed value (millions USD),91,28,110,87,133,176,310,371,479,1636,235
Belgium,Outgoing estimated value (millions USD),99,188,115,94,144,209,800,1790,492,1777,1043
Belgium,Outgoing investment counts,75,54,85,89,142,100,113,151,120,127,178
France,Incoming disclosed value (millions USD),120,157,394,515,970,1228,1832,1453,1741,2074,3429
France,Incoming estimated value (millions USD),355,788,1075,1211,2261,2780,3826,4157,4155,6075,5440
France,Incoming investment counts,81,172,260,274,264,315,377,496,523,569,527
France,Outgoing disclosed value (millions USD),157,169,317,627,661,968,2061,1152,1125,3054,2212
France,Outgoing estimated value (millions USD),393,1067,734,1125,1680,2648,3534,2621,3206,6652,6262
France,Outgoing investment counts,93,176,297,269,245,285,375,411,447,463,433
Germany,Incoming disclosed value (millions USD),1022,104,492,356,850,841,3420,3219,2199,2414,5641
Germany,Incoming estimated value (millions USD),1945,958,864,2612,1421,2999,5062,5351,4891,5633,21450
Germany,Incoming investment counts,106,168,245,265,389,404,710,886,846,791,818
Germany,Outgoing disclosed value (millions USD),793,106,601,711,3238,668,1940,3529,2710,4337,4571
Germany,Outgoing estimated value (millions USD),1559,832,1026,2634,4297,2065,5710,5219,4306,5917,10191
Germany,Outgoing investment counts,136,192,296,293,367,400,706,833,717,727,693
Italy,Incoming disclosed value (millions USD),40,12,7,15,12,28,93,49,82,110,320
Italy,Incoming estimated value (millions USD),40,18,11,249,197,287,316,78,228,227,333
Italy,Incoming investment counts,34,26,26,44,42,55,108,104,103,162,243
Italy,Outgoing disclosed value (millions USD),7,24,39,45,35,83,129,185,137,163,256
Italy,Outgoing estimated value (millions USD),104,26,42,751,332,851,825,495,1035,271,576
Italy,Outgoing investment counts,28,25,40,49,38,56,113,120,106,129,172
Netherlands,Incoming disclosed value (millions USD),47,58,154,99,224,143,360,390,492,453,485
Netherlands,Incoming estimated value (millions USD),198,602,387,1655,353,386,944,1751,1030,1695,1260
Netherlands,Incoming investment counts,38,53,60,76,82,133,150,185,180,183,221
Netherlands,Outgoing disclosed value (millions USD),119,61,270,722,188,168,703,377,788,1093,2057
Netherlands,Outgoing estimated value (millions USD),128,73,373,1253,345,337,999,1071,1540,2028,3689
Netherlands,Outgoing investment counts,24,46,58,73,101,115,178,208,211,247,241
Austria,Incoming disclosed value (millions USD),2,4,13,8,20,33,150,83,103,168,94
Austria,Incoming estimated value (millions USD),2,6,16,36,117,86,294,88,251,830,622
Austria,Incoming investment counts,3,21,24,39,43,47,67,68,149,133,75
Austria,Outgoing disclosed value (millions USD),1,3,9,17,47,47,77,111,92,98,123
Austria,Outgoing estimated value (millions USD),2,8,12,276,161,230,201,116,129,122,295
Austria,Outgoing investment counts,6,17,20,43,37,53,66,79,98,83,75
Spain,Incoming disclosed value (millions USD),26,51,115,84,109,133,271,512,321,377,1642
Spain,Incoming estimated value (millions USD),47,167,231,171,331,341,786,736,813,822,9295
Spain,Incoming investment counts,67,91,89,109,138,161,272,227,307,258,298
Spain,Outgoing disclosed value (millions USD),62,29,61,267,107,101,211,211,226,841,339
Spain,Outgoing estimated value (millions USD),86,223,71,327,162,420,559,806,483,1394,1138
Spain,Outgoing investment counts,61,75,75,90,135,122,191,201,228,214,221
