Country,Metric,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Belgium,Patent applications,0,2,2,8,2,6,8,8,1,0,0
Belgium,Patents granted,0,2,2,8,1,6,7,6,1,0,0
France,Patent applications,35,66,97,184,221,283,292,284,12,0,0
France,Patents granted,32,53,82,154,181,214,171,127,0,0,0
Germany,Patent applications,122,238,410,643,865,1038,994,1180,153,32,0
Germany,Patents granted,98,194,310,447,503,497,338,291,80,29,0
Italy,Patent applications,11,21,29,42,61,65,95,63,4,0,0
Italy,Patents granted,4,11,19,19,39,24,21,6,2,0,0
Netherlands,Patent applications,5,6,5,13,24,19,45,63,3,5,0
Netherlands,Patents granted,5,6,5,10,24,19,44,63,3,5,0
Austria,Patent applications,3,10,11,12,6,15,15,9,1,0,0
Austria,Patents granted,2,9,10,10,4,11,11,4,1,0,0
Spain,Patent applications,44,64,96,111,94,88,67,52,12,3,0
Spain,Patents granted,42,61,90,104,89,75,56,38,7,2,0
